name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"15.5645,-88.0286",2020-11-01,29.8,22.3,24.6,33.3,22.3,25.5,23,91.3,17.427,100,20.83,rain,0,0,40,19.3,353.8,1014.8,86,9.1,133,11.5,5,,2020-11-01T05:48:47,2020-11-01T17:22:20,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-02,25.2,21.6,23.2,25.2,21.6,23.2,22.7,96.9,70.901,100,29.17,rain,0,0,52.2,13.1,335.5,1013.4,98.8,6.3,38.7,3.3,2,,2020-11-02T05:49:09,2020-11-02T17:21:58,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-03,26.5,21.9,23.7,26.5,21.9,23.7,22.5,93.1,48.199,100,20.83,rain,0,0,64.4,24.6,339.5,1011.5,96.7,7.2,63.2,5.5,4,,2020-11-03T05:49:31,2020-11-03T17:21:36,0.61,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-04,22.9,21.1,21.9,22.9,21.1,21.9,21.6,98.2,222.358,100,29.17,rain,0,0,68.4,18.6,254.9,1009.2,100,4.1,17.1,1.4,1,,2020-11-04T05:49:54,2020-11-04T17:21:16,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-05,27.5,22,24.5,32.3,22,24.8,23.8,96.4,76,100,4.17,rain,0,0,36.4,33.5,276.5,1006.9,96.8,6.7,47.9,4.3,2,,2020-11-05T05:50:18,2020-11-05T17:20:56,0.68,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"78706099999,MGPB,MHTE,78637099999"
"15.5645,-88.0286",2020-11-06,27,22,24.1,30.6,22,24.4,23.4,96.4,4,100,4.17,rain,0,0,41.4,13,317.9,1006.5,77.6,9.4,46,4,3,,2020-11-06T05:50:42,2020-11-06T17:20:38,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78706099999,MGPB,MHTE,78637099999"
"15.5645,-88.0286",2020-11-07,31,22,25.8,38.3,22,27.9,23.6,88.7,2.9,100,33.33,rain,0,0,37.8,11.2,291.7,1008.5,73,10.3,172.1,14.9,7,,2020-11-07T05:51:06,2020-11-07T17:20:21,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-08,31,22.1,26.2,37.6,22.1,28.5,23.4,85.6,3,100,33.33,rain,0,0,25.6,11.2,285.2,1010.4,64.2,10.3,194.9,16.9,7,,2020-11-08T05:51:32,2020-11-08T17:20:04,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-09,31.4,21.4,25.8,36.4,21.4,27.8,22.6,83.8,0.1,100,4.17,rain,0,0,24.5,9.3,266.3,1010.6,48.4,10.2,206.1,17.9,7,,2020-11-09T05:51:58,2020-11-09T17:19:49,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-10,30.6,21.9,25.7,38.3,21.9,28.1,23.5,88,0.8,100,29.17,rain,0,0,18.7,11.2,351.9,1009.3,49.7,9.7,200.6,17.4,8,,2020-11-10T05:52:24,2020-11-10T17:19:36,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-11,31,20.8,25.5,38.9,20.8,28,23.5,89.6,0,0,0,,0,0,20.2,11.2,339.7,1010.3,46.8,9.7,236.9,20.4,8,,2020-11-11T05:52:51,2020-11-11T17:19:23,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MGPB,MHTE,MHLM,78637099999,remote"
"15.5645,-88.0286",2020-11-12,31,21.2,25.6,38.3,21.2,27.9,23.3,87.9,0,0,0,,0,0,20.5,9.3,318.5,1012.2,53.6,9.8,194.4,16.8,7,,2020-11-12T05:53:19,2020-11-12T17:19:11,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-13,31,20.9,25.7,37.2,20.9,28.1,23.2,87.1,0,0,0,,0,0,18,20.3,355.9,1013.7,50.4,8.9,201.5,17.3,8,,2020-11-13T05:53:47,2020-11-13T17:19:01,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-14,32,21.2,25.6,42.3,21.2,27.9,23.1,87.3,0.4,100,8.33,rain,0,0,21.6,18.4,3.1,1012.8,56.9,9.4,196.2,16.9,7,,2020-11-14T05:54:16,2020-11-14T17:18:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-15,31,21,25.8,39.1,21,28.5,23.5,88,0.4,100,12.5,rain,0,0,27.7,9.3,356.1,1013,66.3,10.3,193.4,16.5,7,,2020-11-15T05:54:45,2020-11-15T17:18:44,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78706099999,MGPB,MHTE,78637099999,remote"
"15.5645,-88.0286",2020-11-16,29.4,22.3,25.6,35.1,22.3,27,23.3,87.3,3,100,4.17,rain,0,0,39.6,19.5,330.7,1013.8,86.4,9.7,98.2,8.4,4,,2020-11-16T05:55:14,2020-11-16T17:18:38,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78706099999,MGPB,MHTE,78637099999,remote"
